,id,user,transaction type,category,amount,send to,withdraw from,deposit from,timestamp
107,107,0766738417,send,,1108284.85,0760497600,,,2018-11-16 00:15:09
108,108,0780835457,buy,data,17771.82,,,,2019-11-26 15:34:16
109,109,0774796872,paybill,tv,55653.92,,,,2020-02-10 03:29:42
110,110,0780835457,paybill,donation,109110.65,,,,2018-08-06 11:05:27
111,111,0774892352,deposit,,114138.88,,,0766738417,2020-09-17 17:29:25
112,112,0770593319,fees,,678547.04,,,,2018-03-26 16:12:51
113,113,0762958754,withdraw,,44706.13,,0774796872,,2020-06-10 06:12:28
114,114,0770593319,withdraw,,232188.15,,0752613667,,2020-08-26 22:37:45
115,115,0785128460,buy,airtime,423424.22,,,,2020-09-12 19:40:34
116,116,0774892352,buy,data,87867.09,,,,2020-01-29 13:25:55
117,117,0774796872,fees,,7865.9,,,,2018-06-21 22:21:23
118,118,0770593319,deposit,,43028.66,,,0762958754,2019-06-12 16:18:59
119,119,0774796872,paybill,tv,53869.93,,,,2019-05-06 07:26:41
120,120,0766738417,fees,,45863.64,,,,2018-06-01 09:15:02
121,121,0773315944,withdraw,,103045.11,,0770593319,,2019-06-05 07:17:07
122,122,0777920039,withdraw,,192086.44,,0762958754,,2019-04-22 18:59:08
123,123,0760497600,deposit,,44601.5,,,0785128460,2018-05-06 10:16:21
124,124,0789123135,fees,,32503.17,,,,2019-06-18 14:07:53
125,125,0752457103,paybill,donation,112416.03,,,,2018-08-06 04:12:07
126,126,0760497600,deposit,,78596.26,,,0774892352,2020-03-23 13:15:42
127,127,0752215126,send,,150597.67,0762910555,,,2019-09-19 12:49:54
128,128,0770122536,send,,12422887.62,0759263249,,,2020-01-04 03:25:56
129,129,0752457103,withdraw,,120008.88,,0760497600,,2019-11-21 13:20:16
130,130,0752613667,withdraw,,1131891.05,,0785128460,,2018-05-10 08:22:53
131,131,0770593319,deposit,,82683.01,,,0774796872,2018-03-13 22:23:41
132,132,0762910555,withdraw,,83600.27,,0773702333,,2019-10-17 05:58:22
133,133,0766738417,buy,data,94379.46,,,,2019-09-04 13:34:54
134,134,0752613667,buy,airtime,102179.57,,,,2020-09-27 23:39:38
135,135,0773315944,paybill,donation,11057.04,,,,2019-09-01 19:57:56
136,136,0770122536,deposit,,6979.39,,,0752221556,2019-08-02 19:20:56
137,137,0766738417,withdraw,,97820.01,,0770593319,,2018-03-05 10:50:34
138,138,0774892352,send,,25605.16,0774796872,,,2020-09-01 06:46:19
139,139,0759263249,buy,data,214095.09,,,,2020-02-04 19:37:46
140,140,0774796872,send,,26311.76,0752457103,,,2019-10-19 04:33:45
141,141,0773702333,fees,,35018.14,,,,2018-06-20 23:52:43
142,142,0774892352,send,,41045.13,0773702333,,,2018-06-27 19:22:02
143,143,0752215126,withdraw,,111106.86,,0773702333,,2019-06-16 13:59:32
144,144,0770122536,send,,51604.77,0759263249,,,2019-02-17 00:09:53
145,145,0777920039,buy,airtime,305807.42,,,,2018-09-17 05:08:14
146,146,0766738417,send,,352517.44,0777920039,,,2020-09-29 07:33:00
147,147,0773315944,fees,,28485.32,,,,2019-01-19 02:57:03
148,148,0789123135,paybill,tv,89106.15,,,,2018-05-04 11:11:43
149,149,0752221556,buy,data,109790.15,,,,2018-11-03 07:17:27
150,150,0752221556,deposit,,1463384.15,,,0762910555,2019-07-22 00:25:19
151,151,0752613667,fees,,219424.02,,,,2019-08-18 01:01:43
152,152,0789123135,withdraw,,153321.76,,0770593319,,2019-04-16 09:15:41
153,153,0770122536,withdraw,,455795.75,,0777920039,,2019-07-03 09:45:55
154,154,0762958754,send,,157383.79,0752457103,,,2019-05-24 06:26:09
155,155,0773702333,deposit,,2551.09,,,0774892352,2020-05-16 20:23:07
156,156,0752613667,buy,data,35761.16,,,,2018-08-01 14:22:09
157,157,0762910555,buy,airtime,44441.88,,,,2020-08-19 17:34:21
158,158,0770122536,withdraw,,75172.79,,0752457103,,2018-07-08 15:06:14
159,159,0762958754,fees,,56073.6,,,,2019-12-22 18:32:07
160,160,0762958754,send,,56158.79,0752215126,,,2018-11-15 11:39:31
161,161,0752613667,withdraw,,642723.5,,0759263249,,2018-07-17 13:18:37
162,162,0760497600,paybill,tv,16730.84,,,,2020-06-18 11:09:52
163,163,0770593319,fees,,255988.44,,,,2018-11-29 15:54:33
164,164,0777920039,withdraw,,95688.09,,0760497600,,2019-02-02 21:48:58
165,165,0762958754,send,,18949.1,0773702333,,,2019-07-23 06:48:52
166,166,0774796872,deposit,,42523.51,,,0752221556,2019-10-14 05:11:21
167,167,0752457103,fees,,225804.84,,,,2020-05-02 13:21:58
168,168,0780835457,paybill,donation,18548.9,,,,2018-05-14 14:52:13
169,169,0777920039,withdraw,,52552.29,,0770122536,,2018-03-22 02:54:18
170,170,0752457103,paybill,tv,6825.87,,,,2019-04-19 03:50:15
171,171,0766738417,send,,102260.85,0752221556,,,2018-12-21 22:38:46
172,172,0770593319,deposit,,47061.94,,,0780835457,2019-11-16 18:41:55
173,173,0780835457,paybill,electricity,256246.38,,,,2020-05-19 04:35:24
174,174,0770593319,paybill,tv,111997.98,,,,2019-09-08 00:17:41
175,175,0752221556,send,,62548.62,0789123135,,,2018-05-18 00:27:05
176,176,0752221556,fees,,5370.27,,,,2018-11-09 07:35:55
177,177,0752457103,buy,airtime,9194.85,,,,2020-05-23 15:35:39
178,178,0773315944,deposit,,196961.17,,,0762910555,2020-07-05 06:28:55
179,179,0774892352,send,,49932.3,0780835457,,,2020-01-05 02:31:34
180,180,0773702333,paybill,water,71483.42,,,,2018-04-03 23:28:05
181,181,0773315944,deposit,,53027.13,,,0777920039,2018-10-25 13:32:06
182,182,0752221556,send,,28914.21,0770122536,,,2018-11-03 04:04:53
183,183,0752215126,buy,data,205150.46,,,,2020-03-23 20:18:08
184,184,0762958754,fees,,449.57,,,,2019-02-01 06:15:46
185,185,0774892352,deposit,,160084.21,,,0752613667,2018-10-23 21:57:06
186,186,0774796872,paybill,tv,133606.42,,,,2020-06-18 11:03:21
187,187,0762958754,buy,airtime,273826.49,,,,2019-11-28 09:00:57
188,188,0774892352,deposit,,89691.12,,,0752457103,2019-05-07 04:06:08
189,189,0752457103,paybill,tv,445810.22,,,,2019-01-07 02:20:46
190,190,0780835457,deposit,,58744.97,,,0785128460,2019-01-22 11:12:03
191,191,0752215126,send,,242307.63,0762958754,,,2019-07-12 02:38:14
192,192,0770593319,withdraw,,483904.19,,0774796872,,2018-06-20 06:21:09
193,193,0760497600,send,,1093477.83,0766738417,,,2018-12-29 07:07:57
194,194,0770122536,send,,54587.13,0752457103,,,2018-03-01 14:26:03
195,195,0762958754,fees,,84882.71,,,,2019-06-24 14:39:36
196,196,0752215126,send,,128141.32,0773702333,,,2020-02-29 16:13:34
197,197,0770593319,withdraw,,60480.09,,0752613667,,2019-11-07 05:36:15
198,198,0752221556,deposit,,336833.05,,,0785128460,2019-01-01 06:52:24
199,199,0770593319,withdraw,,108403.77,,0752613667,,2019-01-12 19:04:08
200,200,0789123135,withdraw,,37920.56,,0774796872,,2019-10-28 16:55:30
201,201,0773315944,fees,,47320.96,,,,2020-02-14 19:14:27
202,202,0777920039,paybill,electricity,107017.19,,,,2018-05-14 06:23:28
203,203,0752221556,withdraw,,91033.72,,0774796872,,2019-10-15 07:32:07
204,204,0762958754,paybill,tv,126790.61,,,,2020-05-31 12:41:44
205,205,0752613667,send,,100473.03,0752221556,,,2020-10-04 04:36:05
206,206,0780835457,fees,,184962.39,,,,2019-04-30 11:52:00
207,207,0774892352,deposit,,289166.99,,,0773702333,2020-01-28 13:43:34
208,208,0773702333,fees,,77942.72,,,,2018-10-19 16:46:22
209,209,0752613667,fees,,12989.86,,,,2018-03-03 10:27:08
210,210,0773315944,paybill,water,35749.41,,,,2019-08-09 08:08:07
211,211,0785128460,buy,airtime,48393.07,,,,2020-08-19 16:17:10
212,212,0752457103,deposit,,112949.03,,,0789123135,2018-12-24 03:49:40
213,213,0773315944,buy,airtime,28760.12,,,,2019-08-25 01:25:16
214,214,0770593319,paybill,tv,189181.09,,,,2020-05-04 20:56:35
215,215,0785128460,withdraw,,30139.79,,0770122536,,2019-10-22 16:59:44
216,216,0770593319,deposit,,113607.32,,,0780835457,2018-05-11 03:52:19
217,217,0752215126,paybill,electricity,32036.23,,,,2018-06-09 08:38:16
218,218,0770593319,withdraw,,96135.71,,0785128460,,2019-05-09 23:46:22
219,219,0774892352,fees,,3481.89,,,,2019-08-30 12:39:40
220,220,0766738417,deposit,,34455.67,,,0773315944,2019-09-02 19:51:42
221,221,0785128460,fees,,59790.16,,,,2019-04-20 02:39:12
222,222,0752613667,send,,11323.81,0770122536,,,2019-12-30 18:15:58
223,223,0785128460,paybill,electricity,33105.25,,,,2020-01-28 13:25:40
224,224,0762958754,withdraw,,59436.09,,0752613667,,2018-09-01 19:06:58
225,225,0752457103,buy,airtime,1352712.48,,,,2018-07-01 21:48:21
226,226,0770122536,fees,,1170236.93,,,,2018-04-13 20:06:26
227,227,0770122536,buy,data,144098.17,,,,2019-09-22 06:08:09
228,228,0770122536,buy,data,117512.2,,,,2020-07-17 07:21:53
229,229,0752221556,paybill,water,13594.75,,,,2020-02-20 03:02:39
230,230,0774796872,deposit,,78285.05,,,0762910555,2018-06-13 01:43:52
231,231,0789123135,withdraw,,56259.94,,0762958754,,2020-04-15 13:59:24
232,232,0774892352,withdraw,,82246.91,,0766738417,,2018-09-18 16:01:52
233,233,0780835457,withdraw,,8035.62,,0752457103,,2019-07-13 18:21:50
234,234,0774796872,fees,,5640.94,,,,2020-05-07 11:38:46
235,235,0777920039,fees,,71185.4,,,,2019-06-17 14:28:32
236,236,0752215126,buy,data,152930.52,,,,2019-08-14 05:05:05
237,237,0762958754,deposit,,43041.04,,,0752221556,2018-03-24 03:37:25
238,238,0759263249,send,,34908.59,0780835457,,,2019-05-13 00:55:04
239,239,0777920039,send,,51166.05,0752215126,,,2018-05-31 16:23:42
240,240,0770593319,paybill,electricity,6388.86,,,,2018-09-15 00:04:28
241,241,0752457103,paybill,donation,1322899.2,,,,2019-10-02 05:56:39
242,242,0762910555,paybill,water,22095.28,,,,2018-08-12 19:05:59
243,243,0752215126,send,,274311.69,0789123135,,,2018-07-21 17:02:19
244,244,0760497600,withdraw,,280905.78,,0762958754,,2020-06-15 08:59:10
245,245,0770593319,send,,280387.94,0762958754,,,2018-04-25 13:25:06
246,246,0766738417,send,,116440.49,0770593319,,,2019-03-14 12:27:58
247,247,0770593319,fees,,111856.28,,,,2018-06-26 07:33:19
248,248,0773315944,deposit,,4411396.8,,,0752221556,2019-09-30 23:37:54
249,249,0773315944,buy,airtime,98332.86,,,,2019-01-18 06:28:58
250,250,0770122536,deposit,,120249.11,,,0762958754,2020-06-23 03:46:08
251,251,0752613667,deposit,,107687.33,,,0777920039,2018-11-28 13:47:29
252,252,0777920039,fees,,724053.28,,,,2018-03-27 07:04:02
253,253,0777920039,fees,,177403.93,,,,2018-04-21 08:29:14
254,254,0762958754,deposit,,3610.21,,,0752215126,2019-12-06 17:31:44
255,255,0762910555,send,,9749.47,0780835457,,,2018-11-03 07:48:42
256,256,0759263249,send,,62802.53,0780835457,,,2020-02-01 20:18:30
257,257,0762910555,send,,92190.65,0789123135,,,2020-05-07 15:11:54
258,258,0760497600,buy,airtime,126160.9,,,,2018-07-24 03:44:18
259,259,0773315944,paybill,donation,3145.3,,,,2020-08-06 12:49:27
260,260,0762910555,fees,,13464.75,,,,2020-10-02 04:08:27
261,261,0773702333,buy,data,135356.23,,,,2018-03-18 05:37:34
262,262,0770122536,buy,airtime,51644.32,,,,2018-05-03 15:47:51
263,263,0759263249,send,,13299.84,0774892352,,,2018-06-18 03:42:27
264,264,0770122536,deposit,,35076.34,,,0777920039,2019-11-09 14:05:05
265,265,0785128460,send,,38752.71,0752457103,,,2018-02-05 05:14:36
266,266,0762958754,buy,data,46352.9,,,,2019-09-02 22:58:13
267,267,0759263249,send,,93775.79,0752613667,,,2019-10-30 02:58:59
268,268,0777920039,buy,airtime,70711.36,,,,2020-02-18 00:25:01
269,269,0762958754,deposit,,246441.78,,,0759263249,2019-08-09 11:41:48
270,270,0752221556,paybill,donation,188484.06,,,,2019-12-21 20:22:48
271,271,0773702333,paybill,electricity,89757.28,,,,2019-12-14 20:22:47
272,272,0762958754,buy,data,1284137.0,,,,2018-10-13 07:36:48
273,273,0766738417,fees,,84198.55,,,,2020-08-14 11:10:18
274,274,0752215126,paybill,tv,689110.4,,,,2020-01-01 08:55:03
275,275,0752215126,send,,488839.87,0766738417,,,2020-06-19 12:30:10
276,276,0752221556,fees,,49808.71,,,,2019-08-02 13:49:54
277,277,0752221556,paybill,tv,118810.74,,,,2020-05-08 17:22:12
278,278,0762958754,deposit,,94731.86,,,0752457103,2019-08-21 15:16:47
279,279,0762910555,fees,,91377.94,,,,2019-02-10 23:23:07
280,280,0752457103,deposit,,40241.87,,,0774892352,2020-10-28 11:44:28
281,281,0789123135,send,,87553.9,0780835457,,,2019-08-09 10:03:08
282,282,0752613667,paybill,water,94840.11,,,,2019-07-30 07:36:59
283,283,0762958754,withdraw,,46012.28,,0770593319,,2018-04-15 15:00:34
284,284,0752221556,paybill,water,44152.1,,,,2019-08-27 00:11:16
285,285,0766738417,paybill,electricity,54176.18,,,,2020-01-18 06:48:51
286,286,0762910555,paybill,water,162488.8,,,,2018-03-11 02:41:51
287,287,0780835457,paybill,donation,386782.58,,,,2019-03-28 12:16:43
288,288,0762958754,deposit,,48816.98,,,0759263249,2018-02-27 03:30:52
289,289,0774892352,buy,airtime,27892.98,,,,2020-06-15 14:55:05
290,290,0773702333,paybill,tv,39612.71,,,,2019-08-22 07:32:24
291,291,0773315944,deposit,,136553.9,,,0762910555,2018-04-26 19:03:18
292,292,0773702333,send,,63360.48,0752215126,,,2020-04-08 01:40:45
293,293,0770593319,withdraw,,401111.15,,0752613667,,2019-12-10 00:36:52
294,294,0752457103,deposit,,256607.04,,,0752613667,2020-02-11 22:17:33
295,295,0773702333,buy,airtime,90884.17,,,,2019-05-24 21:26:56
296,296,0759263249,buy,data,199365.35,,,,2019-02-02 11:28:28
297,297,0766738417,send,,53637.23,0770593319,,,2020-03-21 20:11:12
298,298,0773702333,send,,98103.22,0752457103,,,2020-03-05 03:10:44
299,299,0777920039,withdraw,,32647.07,,0752221556,,2018-09-29 04:20:42
300,300,0762958754,deposit,,942334.08,,,0760497600,2020-07-05 09:52:44
301,301,0762910555,paybill,water,67810.57,,,,2020-04-22 02:54:38
302,302,0777920039,withdraw,,417986.49,,0766738417,,2018-09-09 18:17:04
303,303,0762958754,send,,165476.84,0752457103,,,2020-02-05 07:37:50
304,304,0777920039,withdraw,,77183.71,,0785128460,,2020-07-04 19:06:30
305,305,0752221556,withdraw,,222145.69,,0759263249,,2019-09-28 12:47:18
306,306,0777920039,fees,,83571.67,,,,2020-02-27 21:13:38
307,307,0774796872,buy,data,43162.95,,,,2019-07-07 01:17:07
308,308,0773315944,fees,,177861.49,,,,2019-02-11 13:58:21
309,309,0770122536,send,,1134971.73,0752215126,,,2018-08-19 04:38:36
310,310,0760497600,buy,data,82572.72,,,,2020-04-12 22:41:10
311,311,0752215126,withdraw,,95476.41,,0770122536,,2018-02-15 13:02:20
312,312,0789123135,paybill,electricity,70533.56,,,,2019-08-10 16:08:14
313,313,0780835457,paybill,donation,79171.33,,,,2019-02-08 18:15:44
314,314,0762910555,deposit,,146231.27,,,0762958754,2019-12-29 00:53:03
315,315,0773315944,paybill,electricity,160383.39,,,,2020-08-27 09:23:58
316,316,0770593319,paybill,electricity,104165.49,,,,2020-10-04 17:52:07
317,317,0752457103,deposit,,114268.16,,,0752215126,2018-06-12 07:37:17
318,318,0770593319,deposit,,795091.13,,,0773702333,2020-01-20 08:10:27
319,319,0777920039,paybill,tv,6801.26,,,,2020-02-05 06:27:01
320,320,0752457103,paybill,water,175279.33,,,,2019-10-20 13:41:07
321,321,0766738417,buy,airtime,24055.21,,,,2018-05-31 01:18:26
322,322,0785128460,send,,244576.54,0766738417,,,2019-07-22 11:07:17
323,323,0780835457,withdraw,,39865.8,,0760497600,,2018-12-13 19:11:02
324,324,0752613667,withdraw,,19768.51,,0762958754,,2019-12-12 11:21:41
325,325,0752613667,send,,144071.82,0762958754,,,2019-08-18 14:28:54
326,326,0762958754,send,,622184.23,0789123135,,,2019-10-21 18:05:54
327,327,0752457103,send,,42939.01,0773702333,,,2019-11-30 17:27:41
328,328,0762958754,fees,,5896.1,,,,2020-05-17 18:58:00
329,329,0752215126,deposit,,180422.74,,,0780835457,2019-06-21 02:41:21
330,330,0770593319,fees,,203597.75,,,,2019-06-21 19:50:46
331,331,0752221556,withdraw,,56997.25,,0780835457,,2018-07-21 17:13:05
332,332,0785128460,fees,,207866.02,,,,2020-03-19 20:46:46
333,333,0752457103,paybill,donation,286312.09,,,,2019-06-27 10:41:17
334,334,0785128460,buy,airtime,54797.2,,,,2019-04-02 17:39:18
335,335,0789123135,send,,49165.98,0770122536,,,2019-07-18 13:48:30
336,336,0773702333,send,,180982.65,0770593319,,,2020-08-01 19:17:00
337,337,0773315944,deposit,,54439.08,,,0762910555,2020-03-24 11:23:29
338,338,0780835457,fees,,127585.07,,,,2020-07-15 23:02:04
339,339,0789123135,fees,,323575.91,,,,2019-12-29 04:45:45
340,340,0774796872,deposit,,6599245.77,,,0752221556,2018-12-26 12:08:13
341,341,0780835457,deposit,,66438.48,,,0752215126,2019-12-31 07:44:04
342,342,0752221556,withdraw,,893442.19,,0752221556,,2018-06-20 22:05:48
343,343,0770122536,fees,,93463.76,,,,2020-04-07 16:45:54
344,344,0752221556,paybill,electricity,51258.59,,,,2020-07-29 14:51:29
345,345,0774892352,buy,airtime,36034.11,,,,2020-09-02 05:52:08
346,346,0774796872,send,,113169.03,0780835457,,,2020-10-04 08:57:15
347,347,0777920039,deposit,,79163.86,,,0752613667,2020-09-17 23:12:42
348,348,0780835457,deposit,,40847.6,,,0759263249,2019-04-13 06:59:55
349,349,0774796872,send,,528362.37,0777920039,,,2020-09-07 09:47:40
350,350,0780835457,paybill,electricity,261678.61,,,,2019-06-22 17:22:05
351,351,0752457103,buy,airtime,2478069.34,,,,2018-09-11 04:04:06
352,352,0752215126,withdraw,,40590.83,,0773315944,,2018-04-04 07:15:17
353,353,0773702333,fees,,102265.51,,,,2019-01-12 20:17:40
354,354,0774796872,send,,3112904.56,0780835457,,,2020-01-03 10:14:14
355,355,0752215126,paybill,donation,2537760.79,,,,2019-11-20 14:47:03
356,356,0773702333,fees,,62278.58,,,,2020-01-10 04:56:47
357,357,0752215126,buy,airtime,41765.77,,,,2019-03-27 16:43:12
358,358,0789123135,paybill,water,210788.26,,,,2019-07-26 06:16:23
359,359,0752613667,send,,168077.24,0762910555,,,2018-09-07 04:15:44
360,360,0770122536,buy,data,26696.66,,,,2018-07-04 08:51:26
361,361,0789123135,send,,31947.92,0770593319,,,2019-07-01 23:56:38
362,362,0770593319,buy,data,147013.09,,,,2019-03-04 19:41:44
363,363,0773702333,deposit,,945886.25,,,0770593319,2019-09-30 03:29:14
364,364,0777920039,fees,,117530.11,,,,2020-05-29 09:20:48
365,365,0760497600,paybill,donation,181159.84,,,,2018-10-31 09:51:06
366,366,0780835457,fees,,531738.69,,,,2018-02-05 07:46:57
367,367,0752457103,withdraw,,133229.81,,0762910555,,2018-01-26 15:20:34
368,368,0774892352,send,,87635.36,0774892352,,,2018-06-09 18:44:28
369,369,0762910555,paybill,electricity,27468.06,,,,2018-11-02 03:15:04
370,370,0760497600,deposit,,93303.43,,,0752457103,2019-06-30 22:40:47
371,371,0770593319,fees,,276115.55,,,,2018-03-03 03:52:57
372,372,0780835457,withdraw,,404318.04,,0785128460,,2018-02-08 15:21:31
